2000;72.4;74.2;74;10.4;84.7;64.2;0.724
2001;72.6;74.8;75;10.2;85.1;64.8;0.728
2002;72.8;75.4;76;10;85.5;65.4;0.732
2003;73;76;77;9.8;85.9;66;0.736
2004;73.2;76.6;78;9.6;86.3;66.6;0.74
2005;73.4;77.2;79;9.4;86.7;67.2;0.744
2006;73.6;77.8;80;9.2;87.1;67.8;0.748
2007;73.8;78.4;81;9;87.5;68.4;0.752
2008;74;79;82;8.8;87.9;69;0.756
2009;74.2;79.6;83;8.6;88.3;69.6;0.76
2010;74.4;80.2;84;8.4;88.7;70.2;0.764
2011;74.6;80.8;85;8.2;89.1;70.8;0.768
2012;74.8;81.4;86;8;89.5;71.4;0.772
2013;75;82;87;7.8;89.9;72;0.776
2014;75.2;82.6;88;7.6;90.3;72.6;0.78
2015;75.4;83.2;89;7.4;90.7;73.2;0.784
2016;75.6;83.8;90;7.2;91.1;73.8;0.788
2017;75.8;84.4;91;7;91.5;74.4;0.792
2018;76;85;92;6.8;91.9;75;0.796
2019;76.2;85.6;93;6.6;92.3;75.6;0.8
;;;;;;;
